"id_text","id_line","label","lemma","base","skip","entry"
"P296528",20,"r v 7'","ligima[shoot]N","{ŋeš}ligima",0,"ligima[shoot]N"
"P273880",367,"b iv 34","igiŋal[sign]N","{ŋeš}igi-ŋal₂",0,"igiŋal[sign]N"
"P459216",53,"ii 21","šurmen[cypress]N","{ŋeš}šu-ur₂-min₃",0,"šurmen[cypress]N"
"P247864",410,"o vii 29'","{ŋeš}x-za-ab[NA]NA","{ŋeš}x-za-ab",0,"{ŋeš}x-za-ab[NA]NA"
"P332934",230,"o iv 1'","{ŋeš}x-x[NA]NA","{ŋeš}x-x",0,"{ŋeš}x-x[NA]NA"
"P247864",53,"o i 50","peš[fig]N kur[mountain]N","{ŋeš}peš₃ kur",0,"peš[fig]N_kur[mountain]N"
"Q000039",580,"523","ŋeš[tree]N šanabi[two-thirds]N sila[unit]N","ŋeš šanabi sila₃",0,"ŋeš[tree]N_šanabi[two-thirds]N_sila[unit]N"
"Q000001",76,"76","udu[sheep]N KI.KAŠ.NI[meal]N","udu KI-KAŠ-NI",0,"udu[sheep]N_KI.KAŠ.NI[meal]N"
"Q000039",235,"199","bad[leg]N guza[chair]N","{ŋeš}bad gu-za",0,"bad[leg]N_guza[chair]N"
"P271911",331,"unknown","unknown","unknown",1,"unknown"
"P235262",32,"c ii 5'","dilim[spoon]N","{ŋeš}dilim₂",0,"dilim[spoon]N"
"P346714",161,"r iv 44'","gag[nail]N usakar[moon]N","{ŋeš}gag u₄-sakar",0,"gag[nail]N_usakar[moon]N"
"P332934",291,"r iii 18","ma[ship]N x[NA]NA","{ŋeš}ma₂ x",0,"ma[ship]N_x[NA]NA"
"P273880",413,"c i 16","{ŋeš}x[NA]NA tukul[weapon]N","{ŋeš}x tukul",0,"{ŋeš}x[NA]NA_tukul[weapon]N"
"P250736",20,"o i 16","gisig[fence]N","gi-sig",0,"gisig[fence]N"
"P271911",32,"o i 22'","nukušu[~door]N anta[upper]V/t","nu-kuš₂ an-ta",0,"nukušu[~door]N_anta[upper]V/t"
"P271911",59,"o i 40'","x[NA]NA","x",0,"x[NA]NA"
"P271301",14,"o i 11","halub[tree]N","{ŋeš}ha-lu-ub₂",0,"halub[tree]N"
"P271911",249,"o iv 19","lidga[vessel]N","{+du-uṭ-ṭu}DIŠ",0,"lidga[vessel]N"
"Q000039",717,"648","gam[crook]N","{ŋeš}kab",0,"gam[crook]N"
