,designation,period,provenience
P225070,"TIM 10, 094",Old Babylonian,not entered
P225071,"TIM 10, 095",Old Babylonian,not entered
P225072,"TIM 10, 096",Old Babylonian,not entered
P225073,"TIM 10, 097",Old Babylonian,not entered
P225074,"TIM 10, 098",Old Babylonian,not entered
P225075,"TIM 10, 099",Old Babylonian,not entered
P225076,"TIM 10, 100",Old Babylonian,not entered
P225077,"TIM 10, 101",Old Babylonian,not entered
P225078,"TIM 10, 102",Old Babylonian,not entered
P225079,"TIM 10, 103",Old Babylonian,not entered
P225080,"TIM 10, 104",Old Babylonian,not entered
P225081,"TIM 10, 105",Old Babylonian,not entered
P225082,"TIM 10, 106",Old Babylonian,not entered
P225083,"TIM 10, 107",Old Babylonian,not entered
P225084,"TIM 10, 108",Old Babylonian,not entered
P225085,"TIM 10, 109",Old Babylonian,not entered
P225086,"TIM 10, 110",Old Babylonian,not entered
P225087,"TIM 10, 111",Old Babylonian,not entered
P225088,"TIM 10, 118",Old Babylonian,not entered
P225089,"TIM 10, 119",Old Babylonian,not entered
P225090,"TIM 10, 120",Old Babylonian,not entered
P225091,"TIM 10, 121",Old Babylonian,not entered
P225092,"TIM 10, 122",Old Babylonian,Nippur
P225093,"TIM 10, 123",Old Babylonian,Nippur
P225094,"TIM 10, 124",Old Babylonian,Nippur
P225095,"TIM 10, 125",Old Babylonian,not entered
P225096,"TIM 10, 126",Old Babylonian,not entered
P225097,"TIM 10, 127",Old Babylonian,not entered
P225098,"TIM 10, 128",Old Babylonian,not entered
P225099,"TIM 10, 129",Old Babylonian,not entered
P225100,"TIM 10, 130",Old Babylonian,Nippur
P225101,"TIM 10, 131",Old Babylonian,Nippur
P225102,"TIM 10, 132",Old Babylonian,Nippur
P225103,"TIM 10, 133",Old Babylonian,Nippur
P225104,"TIM 10, 134",Old Babylonian,Nippur
P225105,"TIM 10, 135",Old Babylonian,not entered
P225106,"TIM 10, 136",Old Babylonian,not entered
P225107,"TIM 10, 137",Old Babylonian,not entered
P225108,"TIM 10, 138",Old Babylonian,not entered
P225109,"TIM 10, 139",Old Babylonian,not entered
P225110,"TIM 10, 140",Old Babylonian,not entered
P225111,"TIM 10, 141",Old Babylonian,not entered
P225112,"TIM 10, 142",Old Babylonian,not entered
P225113,"TIM 10, 143",Old Babylonian,not entered
P225114,"TIM 10, 144",Old Babylonian,not entered
P225115,"TIM 10, 145",Old Babylonian,not entered
P225116,"TIM 10, 146",Old Babylonian,not entered
P225117,"TIM 10, 147",Old Babylonian,not entered
P225118,"TIM 10, 014",Old Babylonian,not entered
P225119,"TIM 10, 031",Old Babylonian,not entered
P225120,"TIM 10, 112",Old Babylonian,not entered
P225121,"TIM 10, 113",Old Babylonian,not entered
P225122,"TIM 10, 114",Old Babylonian,not entered
P225123,"TIM 10, 115",Old Babylonian,not entered
P225124,"TIM 10, 116",Old Babylonian,not entered
P225125,"TIM 10, 117",Old Babylonian,not entered
P225126,"TIM 10, 148",Old Babylonian,not entered
P225127,"TIM 10, 149",Old Babylonian,not entered
P225128,"TIM 10, 150",Old Babylonian,not entered
P225129,"TIM 10, 151",Old Babylonian,not entered
P225130,"TIM 10, 152",Old Babylonian,not entered
P225131,"TIM 10, 153",Old Babylonian,not entered
P225132,"TIM 10, 154",Old Babylonian,not entered
P225133,"TIM 10, 155",Old Babylonian,not entered
P225134,"TIM 10, 156",Old Babylonian,Nippur
P225135,"TIM 10, 157",Old Babylonian,Nippur
P225136,"TIM 10, 158",Old Babylonian,Nippur
P225137,"TIM 10, 159",Old Babylonian,Nippur
P225138,"TIM 10, 160",Old Babylonian,Nippur
P225139,"TIM 10, 161",Old Babylonian,Nippur
P225140,"TIM 10, 162",Old Babylonian,Nippur
P225141,"TIM 10, 163",Old Babylonian,Nippur
P225142,"TIM 10, 164",Old Babylonian,Nippur
P225143,"TIM 10, 165",Old Babylonian,Nippur
P225144,"TIM 10, 166",Old Babylonian,Nippur
P225145,"TIM 10, 167",Old Babylonian,Nippur
P225146,"TIM 10, 168",Old Babylonian,not entered
P225833,"CUSAS 26, 121",Old Akkadian,Adab
P225837,"CUSAS 26, 122",not entered,Adab
P225903,"OIP 099, 003",ED IIIa,Abu Salabikh
P225907,"OIP 099, 006",ED IIIa,Abu Salabikh
P225908,"OIP 099, 008",ED IIIa,Abu Salabikh
P225909,"OIP 099, 009",ED IIIa,Abu Salabikh
P225910,"OIP 099, 011",ED IIIa,Abu Salabikh
P225911,"OIP 099, 012",ED IIIa,Abu Salabikh
P225912,"OIP 099, 014",ED IIIa,Abu Salabikh
P225913,"OIP 099, 015",ED IIIa,Abu Salabikh
P225914,"OIP 099, 016",ED IIIa,Abu Salabikh
P225915,"OIP 099, 017",ED IIIa,Abu Salabikh
P225916,"OIP 099, 020",ED IIIa,Abu Salabikh
P225917,"OIP 099, 022",ED IIIa,Abu Salabikh
P225918,"OIP 099, 028",ED IIIa,Abu Salabikh
P225919,"OIP 099, 040",ED IIIa,Abu Salabikh
P225920,"OIP 099, 041",ED IIIa,Abu Salabikh
P225921,"OIP 099, 042",ED IIIa,Abu Salabikh
P225922,"OIP 099, 043",ED IIIa,Abu Salabikh
P225923,"OIP 099, 045",ED IIIa,Abu Salabikh
P225924,"OIP 099, 046",ED IIIa,Abu Salabikh
P225925,"OIP 099, 047",ED IIIa,Abu Salabikh
P225926,"OIP 099, 048",ED IIIa,Abu Salabikh
P225927,"OIP 099, 049",ED IIIa,Abu Salabikh
P225928,"OIP 099, 050",ED IIIa,Abu Salabikh
P225929,"OIP 099, 051",ED IIIa,Abu Salabikh
P225930,"OIP 099, 052",ED IIIa,Abu Salabikh
P225931,"OIP 099, 053",ED IIIa,Abu Salabikh
P225932,"OIP 099, 055 + OIP 099, 059",ED IIIa,Abu Salabikh
P225933,"OIP 099, 056",ED IIIa,Abu Salabikh
P225934,"OIP 099, 057",ED IIIa,Abu Salabikh
P225935,"OIP 099, 058",ED IIIa,Abu Salabikh
P225936,"OIP 099, 059",ED IIIa,Abu Salabikh
P225937,"OIP 099, 060",ED IIIa,Abu Salabikh
P225938,"OIP 099, 062",ED IIIa,Abu Salabikh
P225939,"OIP 099, 063",ED IIIa,Abu Salabikh
P225940,"OIP 099, 064",ED IIIa,Abu Salabikh
P225941,"OIP 099, 065",ED IIIa,Abu Salabikh
P225942,"OIP 099, 066",ED IIIa,Abu Salabikh
P225943,"OIP 099, 067",ED IIIa,Abu Salabikh
P225944,"OIP 099, 068",ED IIIa,Abu Salabikh
P225945,"OIP 099, 069",ED IIIa,Abu Salabikh
P225946,"OIP 099, 070",ED IIIa,Abu Salabikh
P225947,"OIP 099, 071",ED IIIa,Abu Salabikh
P225948,"OIP 099, 072",ED IIIa,Abu Salabikh
P225949,"OIP 099, 073",ED IIIa,Abu Salabikh
P225950,"OIP 099, 074",ED IIIa,Abu Salabikh
P225951,"OIP 099, 075",ED IIIa,Abu Salabikh
P225952,"OIP 099, 076",ED IIIa,Abu Salabikh
