sheep,ewe,goat,lamb,kid,ox,young,equid,donkey,equid,donkey,snake,lion_lioness,dog,tiger_wild-animal,dog,cat,monkey,gazelle,animal,goat_ram,elephant,multitude,insect,fly,locust,rodent,mongoose_sorcerer,turtle,pig,ant,animal,scorpion,frog,flesh
udu[sheep]n_maššugidgid[diviner]n,NA,NA,NA,NA,ab[cow]n_si[horn]n_ŋal[be]v/i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_niŋgiggi[black]n
udu[sheep]n_mašdarea[payment]n,NA,NA,NA,NA,ab[cow]n_si[horn]n_ŋal[be]v/i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_ur[root]n
udu[sheep]n_namuruna[~herd]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_ur[root]n_kun[tail]n
udu[sheep]n_namraʾak[booty]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_gaba[chest]n
udu[sheep]n_namerim[oath]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_ŋeš[tree]n_gaba[chest]n
udu[sheep]n_eana[1]tn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_tuhul[hip]n
udu[sheep]n_dagaltuma[pouch]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_tuhul[hip]n_kud[cut]v/t
udu[sheep]n_barŋal[~sheep]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_saŋ[head]n_tuhul[hip]n
udu[sheep]n_barsuga[~sheep]aj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_ŋiripadra[bone]n
udu[sheep]n_barsal[sheep]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_ŋiripadra[bone]n_gid[long]v/i
udu[sheep]n_ŋirtab[scorpion]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_ŋiripadra[bone]n_lugud[short]v/i
udu[sheep]n_zulumhi[sheep]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_ŋiripadra[bone]n_hulu[bad]v/i_gig[sick]v/i
udu[sheep]n_gaba[chest]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_tun₃[na]na_gig[sick]v/i
udu[sheep]n_gabaria[offering]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_zilkum[~animal]n
udu[sheep]n_igidu[gift]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_terzum[presentation]n
udu[sheep]n_urri[~sheep]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_dimma[~sheep]n
udu[sheep]n_zag[side]n_urri[~sheep]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_sam[price]n
udu[sheep]n_bala[turn]v/t_zag[side]n_urri[~sheep]n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uzu[flesh]n_šakanka[market]n
